time_stamp,bank_id,type,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
1675911123.881388,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.467,3.457,3.464,3.466,3.466,3.411,3.401
1675911123.896682,0,T,25.0,24.5,25.4,24.2,24.8,24.4,24.4,25.2,24.8,24.8,24.8,24.3,25.0,24.6,24.5,25.2,26.4
1675911124.978955,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.466,3.466,3.411,3.401
1675911124.995043,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.3,25.0,24.5,24.5,25.2,26.4
1675911126.075469,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.464,3.466,3.466,3.411,3.401
1675911126.091156,0,T,25.0,24.6,25.3,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911127.174654,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.465,3.466,3.411,3.401
1675911127.18958,0,T,25.0,24.5,25.3,24.2,24.9,24.4,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911128.2703779,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.466,3.466,3.411,3.402
1675911128.286912,0,T,25.0,24.6,25.3,24.2,24.8,24.5,24.5,25.2,24.8,24.8,24.8,24.3,25.0,24.6,24.5,25.2,26.4
1675911129.3694441,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.465,3.466,3.411,3.401
1675911129.383981,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911130.466201,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.465,3.466,3.466,3.411,3.401
1675911130.480968,0,T,25.0,24.5,25.4,24.2,24.8,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.2,26.4
1675911131.563563,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.464,3.465,3.466,3.411,3.401
1675911131.5783732,0,T,25.0,24.5,25.4,24.2,24.9,24.4,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911132.66112,0,V,3.436,3.461,3.456,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.457,3.465,3.465,3.466,3.411,3.401
1675911132.67835,0,T,25.0,24.5,25.3,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.3,25.1,24.5,24.5,25.2,26.4
1675911133.7598321,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.457,3.465,3.466,3.466,3.411,3.401
1675911133.774623,0,T,25.0,24.5,25.3,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
